"id","name","ancestry","created_at","updated_at"
1,"レディース",,"2019-09-23 11:16:30","2019-09-23 11:16:30"
2,"トップス",1,"2019-09-23 11:16:30","2019-09-23 11:16:30"
3,"Tシャツ/カットソー(半袖/袖なし)","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
4,"Tシャツ/カットソー(七分/長袖)","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
5,"シャツ/ブラウス(半袖/袖なし)","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
6,"シャツ/ブラウス(七分/長袖)","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
7,"ポロシャツ","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
8,"キャミソール","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
9,"タンクトップ","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
10,"ホルターネック","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
11,"ニット/セーター","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
12,"チュニック","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
13,"カーディガン/ボレロ","1/2","2019-09-23 11:16:30","2019-09-23 11:16:30"
14,"アンサンブル","1/2","2019-09-23 11:16:31","2019-09-23 11:16:31"
15,"ベスト/ジレ","1/2","2019-09-23 11:16:31","2019-09-23 11:16:31"
16,"パーカー","1/2","2019-09-23 11:16:31","2019-09-23 11:16:31"
17,"トレーナー/スウェット","1/2","2019-09-23 11:16:31","2019-09-23 11:16:31"
18,"ベアトップ/チューブトップ","1/2","2019-09-23 11:16:31","2019-09-23 11:16:31"
19,"ジャージ","1/2","2019-09-23 11:16:31","2019-09-23 11:16:31"
20,"その他","1/2","2019-09-23 11:16:31","2019-09-23 11:16:31"
21,"ジャケット/アウター",1,"2019-09-23 11:16:31","2019-09-23 11:16:31"
22,"テーラードジャケット","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
23,"ノーカラージャケット","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
24,"Gジャン/デニムジャケット","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
25,"レザージャケット","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
26,"ダウンジャケット","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
27,"ライダースジャケット","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
28,"ミリタリージャケット","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
29,"ダウンベスト","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
30,"ジャンパー/ブルゾン","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
31,"ポンチョ","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
32,"ロングコート","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
33,"トレンチコート","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
34,"ダッフルコート","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
35,"ピーコート","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
36,"チェスターコート","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
37,"モッズコート","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
38,"スタジャン","1/21","2019-09-23 11:16:31","2019-09-23 11:16:31"
